quadkey,ts_prefix,dt,hour,baseline,crisis,change_raw,2_threshold_lower,2_n_pairs,2_low_confidence,2_change_median,2_change_mad,2_change,2_is_anomaly,2_anomaly_direction
30011010223031,20240501_0000,2024-05-01 00:00:00,0,11926.280745547598,5858.5833109368195,-6067.697434610778,-3.5,3.0,False,-55.98577986285636,118.13156673211051,-34.32528343861599,True,outflow
30011010223032,20240501_0000,2024-05-01 00:00:00,0,4139.587109865115,3202.1152987605547,-937.4718111045604,-3.5,3.0,False,63.08829781588702,1.748557662145231,-385.9625610738298,True,outflow
30011010223033,20240501_0000,2024-05-01 00:00:00,0,6066.954518004204,3801.7113463388696,-2265.2431716653346,-3.5,3.0,False,-88.92746497444568,92.04721496437105,-15.947521548926797,True,outflow
30011010223100,20240501_0000,2024-05-01 00:00:00,0,1861.9316298225424,1472.1296739521465,-389.8019558703959,-3.5,3.0,False,-36.42943869086503,30.46739859723857,-7.823108431029505,True,outflow
30011010223102,20240501_0000,2024-05-01 00:00:00,0,6133.666722876526,5141.6043157757795,-992.0624071007469,-3.5,3.0,False,-77.35003953959949,14.243373375213196,-43.316528723011096,True,outflow
30011010223120,20240501_0000,2024-05-01 00:00:00,0,9885.70350227407,7695.882011426125,-2189.821490847944,-3.5,3.0,False,26.85904908827979,1.8731083071397734,-798.2192052044609,True,outflow
30011010223121,20240501_0000,2024-05-01 00:00:00,0,6145.261474554918,5753.615860454968,-391.64561409994985,-3.5,3.0,False,-5.725997353833009,15.30508685883433,-17.00759910062223,True,outflow
30011010223122,20240501_0000,2024-05-01 00:00:00,0,5372.6754067166285,3919.711444320968,-1452.9639623956605,-3.5,3.0,False,-45.76219817152287,52.54408436378253,-18.064023789962814,True,outflow
30011010223123,20240501_0000,2024-05-01 00:00:00,0,3616.044211931251,2863.463542597416,-752.580669333835,-3.5,3.0,False,-32.6934146206836,2.29601753328825,-211.48094309568202,True,outflow
30011010223200,20240501_0000,2024-05-01 00:00:00,0,696.8786862450999,659.3903930146358,-37.48829323046402,-3.5,3.0,False,-3.0959826930950385,3.083665818675854,-7.522739110367214,True,outflow
30011010223201,20240501_0000,2024-05-01 00:00:00,0,1204.565129124758,1076.8443234015187,-127.72080572323921,-3.5,3.0,False,29.40178733305879,3.331652911273295,-31.809792868240212,True,outflow
30011010223202,20240501_0000,2024-05-01 00:00:00,0,565.5162564402352,480.582563830778,-84.93369260945724,-3.5,3.0,False,39.88823512168642,3.1013077569556344,-27.1473832501238,True,outflow
30011010223203,20240501_0000,2024-05-01 00:00:00,0,506.63417999202335,452.56841697269857,-54.06576301932478,-3.5,3.0,False,15.120148791295833,0.9301271795383741,-50.17152336030442,True,outflow
30011010223211,20240501_0000,2024-05-01 00:00:00,0,2181.7506129731037,1888.0758589069592,-293.6747540661445,-3.5,3.0,False,-62.715375632494215,22.51840461293341,-6.917990125464923,True,outflow
30011010223221,20240501_0000,2024-05-01 00:00:00,0,378.2607354117927,365.03513759926545,-13.225597812527269,-3.5,3.0,False,13.64382012350137,0.8967159122950648,-20.210885241755136,True,outflow
30011010223300,20240501_0000,2024-05-01 00:00:00,0,2893.5705357663624,2284.734836071248,-608.8356996951143,-3.5,3.0,False,-86.86604603313572,1.6585901165831274,-212.26976326152436,True,outflow
30011010223301,20240501_0000,2024-05-01 00:00:00,0,2686.0006515201503,1682.1267855617937,-1003.8738659583566,-3.5,3.0,False,21.267151436456516,39.7612264233444,-17.390248702862863,True,outflow
30011010223310,20240501_0000,2024-05-01 00:00:00,0,2654.1013071147513,2545.88475805382,-108.21654906093136,-3.5,3.0,False,72.52035934157493,7.135622904228512,-17.084289115845706,True,outflow
30011010223312,20240501_0000,2024-05-01 00:00:00,0,881.4522706914325,675.9949449290605,-205.45732576237208,-3.5,3.0,False,40.1492199753701,12.250284572832925,-13.52308300392382,True,outflow
30011010223313,20240501_0000,2024-05-01 00:00:00,0,993.2534013929512,799.8886902590361,-193.36471113391508,-3.5,3.0,False,48.149622596325,14.530958789860051,-11.210644834718154,True,outflow
30011010223331,20240501_0000,2024-05-01 00:00:00,0,497.352436059733,365.7342989614857,-131.6181370982473,-3.5,3.0,False,18.85749522087451,26.978984866913038,-3.7620323559216597,True,outflow
30011010230203,20240501_0000,2024-05-01 00:00:00,0,711.3990416895267,707.7989199618888,-3.600121727637884,-3.5,3.0,False,17.00675867816028,3.3039061547682422,-4.206941778189173,True,outflow
30011010230212,20240501_0000,2024-05-01 00:00:00,0,740.9590690289626,652.9112556175361,-88.04781341142655,-3.5,3.0,False,-2.592417494164465,6.003351177936793,-9.601248175856778,True,outflow
30011010230213,20240501_0000,2024-05-01 00:00:00,0,406.6099809587506,343.1183133000057,-63.491667658744916,-3.5,3.0,False,-6.531793713610682,9.413379713595987,-4.081364626192956,True,outflow
30011010232011,20240501_0000,2024-05-01 00:00:00,0,254.6774380914028,212.77477379858396,-41.90266429281883,-3.5,3.0,False,-3.4606436004394823,3.261942436260398,-7.948988513339898,True,outflow
30011010232013,20240501_0000,2024-05-01 00:00:00,0,516.6350916677989,451.48945131962665,-65.14564034817221,-3.5,3.0,False,9.253989373396621,12.151796070290857,-4.129640586208178,True,outflow
30011010232100,20240501_0000,2024-05-01 00:00:00,0,87.49591507337483,71.17897033827204,-16.316944735102794,-3.5,3.0,False,-7.059155977842991,1.267645987646219,-4.925964013317612,True,outflow
30011010232102,20240501_0000,2024-05-01 00:00:00,0,184.66463992854813,153.19871320846488,-31.465926720083246,-3.5,3.0,False,2.483909141160723,2.599327956990436,-8.80964798105825,True,outflow
30011010232112,20240501_0000,2024-05-01 00:00:00,0,87.97724353779951,50.63032404314003,-37.34691949465948,-3.5,3.0,False,1.0809489779886405,3.189537055119075,-8.126444946987299,True,outflow
30011010232113,20240501_0000,2024-05-01 00:00:00,0,66.30063906448726,47.741226432653214,-18.559412631834043,-3.5,3.0,False,5.236784077516525,2.3204700119306807,-6.916932603280045,True,outflow
